"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,139899994,122994425,1,5,34,"M",2,,34,0
2019,139910258,122994712,1,5,35,"M",2,,35,0
2019,139951780,123027436,1,5,25,"M",2,3,25,0
2019,139951781,123027437,1,5,42,"M",3,3,42,0
2019,139951782,123027438,1,5,29,"M",2,,29,0
2019,139950236,123026308,0,,,"",,,,
2019,139950255,123026318,1,5,17,"M",0,,17,0
2019,139951787,123027441,1,4,,"U",0,,,
2019,139951788,123027441,2,4,,"U",0,,,
2019,139951792,123027444,1,5,58,"M",2,2,58,0
2019,139951239,123027042,1,5,26,"M",2,,26,0
2019,139951229,123027035,3,5,40,"M",2,2,40,0
2019,139951227,123027035,1,5,33,"M",1,,33,0
2019,139951230,123027035,4,5,40,"F",1,,40,0
2019,139951240,123027043,1,4,,"U",0,,,
2019,139951244,123027046,2,4,,"U",0,,,
2019,139951243,123027046,1,4,,"U",0,,,
2019,139951085,123026922,1,5,25,"M",2,2,25,0
2019,139951090,123026924,2,5,29,"M",2,2,29,0
2019,139951091,123026924,3,5,28,"M",2,,28,0
2019,139951089,123026924,1,5,35,"M",2,,35,0
2019,139951271,123027063,1,5,54,"M",2,,54,0
2019,139951344,123027112,1,5,42,"M",1,2,42,0
2019,139951877,123027501,1,4,,"F",1,,,
2019,139950526,123026507,1,5,45,"M",2,2,45,0
2019,139950528,123026509,1,5,52,"M",2,,52,0
2019,139950529,123026510,1,4,,"U",0,,,
2019,139950536,123026514,4,4,,"U",0,,,
2019,139950533,123026514,1,5,19,"M",2,,18,21
2019,139950535,123026514,3,4,,"U",0,,,
2019,139950534,123026514,2,4,,"U",0,,,
2019,139950771,123026678,1,5,18,"M",2,2,18,0
2019,139950781,123026687,1,5,33,"M",2,2,33,0
2019,139950785,123026691,1,5,33,"F",1,1,33,0
2019,139950787,123026693,1,5,34,"M",2,,34,0
2019,139950789,123026695,1,5,61,"M",2,2,61,0
2019,139950950,123026820,0,,,"",,,,
2019,139952162,123027705,1,5,26,"M",0,,26,0
2019,139955726,123030797,1,5,61,"M",1,,61,0
2019,139955766,123030836,1,5,39,"M",2,,39,0
2019,139955770,123030840,1,5,51,"M",2,,51,0
2019,139955771,123030840,2,5,28,"M",2,,28,0
2019,139950345,123026389,1,5,18,"F",2,,18,0
2019,139950346,123026390,1,5,27,"F",2,,27,0
2019,139951133,123026955,1,5,20,"M",1,2,20,0
2019,139950619,123026575,1,5,16,"M",0,,16,17
2019,139950911,123026796,1,5,38,"M",1,1,38,0
2019,139950949,123026819,0,,,"",,,,
2019,139951016,123026871,1,5,28,"M",2,,28,0
2019,139951021,123026876,1,5,22,"F",0,,22,0
2019,139951027,123026881,1,5,22,"M",1,,22,0
2019,139951135,123026957,1,5,36,"M",0,2,36,0
2019,139951658,123027351,1,5,45,"M",2,2,45,0
2019,139951662,123027354,2,5,27,"M",0,,27,0
2019,139951661,123027354,1,4,,"U",0,,,
2019,139951667,123027357,1,5,18,"F",2,,18,0
2019,139951668,123027357,2,5,17,"F",2,,17,0
2019,139951673,123027361,1,5,33,"F",4,,33,0
2019,139951674,123027361,2,5,28,"M",4,2,28,0
2019,139951887,123027510,1,5,19,"M",3,,18,21
2019,139951888,123027510,2,5,16,"F",0,,16,17
2019,139950155,123026246,1,5,41,"M",2,,41,0
2019,139950163,123026252,1,5,25,"M",2,,22,29
2019,139950240,123026310,3,5,17,"M",1,3,17,0
2019,139950238,123026310,1,5,19,"M",1,2,19,0
2019,139950239,123026310,2,5,17,"M",1,3,17,0
2019,139950241,123026310,4,5,21,"M",1,2,21,0
2019,139950296,123026350,1,4,,"U",0,,,
2019,139950828,123026724,3,5,19,"F",2,,19,0
