"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,149222060,123346900,51,"C",20,,""
2019,149111133,123258210,51,"C",13,,""
2019,149111134,123258211,39,"C",18,,""
2019,149111137,123258214,36,"C",20,,""
2019,149111138,123258215,36,"C",20,,""
2019,149520063,123401672,49,"C",8,,"N"
2019,149520061,123401670,16,"C",13,,""
2019,149223021,123347756,28,"C",13,,""
2019,149520150,123401743,16,"C",13,,""
2019,149520153,123401745,41,"C",3,,""
2019,149520152,123401745,45,"C",3,,""
2019,149520155,123401747,40,"C",20,,""
2019,149520158,123401750,40,"C",13,,""
2019,149520161,123401753,21,"C",13,,""
2019,149520261,123401837,51,"C",20,,""
2019,149520263,123401839,27,"C",7,,""
2019,148906275,123059667,40,"C",2,,""
2019,148906278,123059670,16,"C",18,,""
2019,148938040,123099269,2,"C",8,,""
2019,148938042,123099271,23,"C",8,,""
2019,148938046,123099274,11,"C",23,,""
2019,148938047,123099275,23,"A",8,,""
2019,149031417,123179686,44,"C",13,,""
2019,149031422,123179690,21,"C",18,,""
2019,149031421,123179690,27,"C",18,,""
2019,149031423,123179690,5,"C",18,,""
2019,149518241,123395024,16,"C",13,,""
2019,149518135,123394929,39,"C",13,,""
2019,149518136,123394929,16,"C",13,,""
2019,149518139,123394932,51,"C",25,,""
2019,149518140,123394932,16,"C",25,,""
2019,149518273,123395053,36,"C",3,,""
2019,149518408,123395169,51,"C",20,,""
2019,149518409,123395170,44,"C",20,,""
2019,149518418,123395178,51,"C",13,,""
2019,149518419,123395179,51,"C",20,,""
2019,149516284,123393309,16,"C",20,,""
2019,149215982,123341845,45,"C",20,,""
2019,149215984,123341847,49,"C",20,,"N"
2019,149215985,123341848,49,"C",20,,"F"
2019,149215987,123341850,49,"C",21,,"F"
2019,149215989,123341852,45,"C",5,,""
2019,149215992,123341855,5,"C",8,,""
2019,149215995,123341858,44,"C",20,,""
2019,149215998,123341860,40,"C",13,,""
2019,149216000,123341862,32,"C",20,,""
2019,149221190,123346115,37,"C",20,,""
2019,149221192,123346117,44,"C",20,,""
2019,149221195,123346120,39,"C",13,,""
2019,149518549,123395297,23,"C",12,,""
2019,149518018,123394823,39,"C",13,,""
2019,149518016,123394823,27,"C",13,,""
2019,149518017,123394823,5,"C",13,,""
2019,149518021,123394825,5,"C",18,,""
2019,149518020,123394825,21,"A",18,,""
2019,149518023,123394827,14,"C",13,,""
2019,149518073,123394870,28,"C",13,,""
2019,149518074,123394870,39,"C",13,,""
2019,149518290,123395065,39,"C",13,,""
2019,149518291,123395065,16,"C",13,,""
2019,149518292,123395066,28,"C",13,,""
2019,149518545,123395294,16,"C",13,,""
2019,149147908,123280066,5,"C",38,,""
2019,149520048,123401660,40,"C",18,,""
2019,149519950,123401575,36,"C",18,,""
2019,149519952,123401577,49,"C",20,,"F"
2019,149519954,123401579,40,"C",13,,""
2019,149519957,123401581,41,"C",13,,""
2019,149519956,123401581,18,"C",13,,""
2019,148906217,123059620,16,"C",13,,""
2019,148906220,123059622,40,"A",1,,""
2019,148906219,123059622,32,"C",1,,""
2019,148906223,123059624,21,"C",13,,""
2019,148906277,123059669,51,"C",20,,""
2019,148906978,123060287,28,"C",13,,""
2019,148906950,123060264,51,"C",25,,""
2019,148906951,123060264,16,"C",25,,""
2019,148906979,123060288,16,"C",18,,""
2019,148906983,123060292,28,"C",13,,""
2019,148906984,123060293,49,"C",21,,"N"
2019,148919513,123086551,45,"C",20,,""
2019,148937796,123099064,51,"C",20,,""
2019,148937797,123099065,21,"C",13,,""
2019,148938022,123099251,23,"C",8,,""
2019,148938028,123099257,23,"C",8,,""
2019,148938031,123099260,23,"C",8,,""
2019,148938033,123099262,2,"C",5,,""
2019,148938035,123099264,23,"A",8,,""
2019,148938036,123099265,23,"C",8,,""
2019,148938104,123099330,40,"C",2,,""
2019,149147921,123280078,44,"C",20,,""
2019,148938126,123099347,23,"C",8,,""
2019,148938130,123099350,47,"C",12,,""
2019,148938131,123099351,41,"C",23,,""
2019,148938501,123099675,45,"C",20,,""
2019,148938500,123099675,2,"C",20,,""
2019,149227392,123349423,51,"C",25,,""
2019,149540050,123416040,45,"C",29,,""
2019,139756484,114511366,44,"C",11,,""
2019,139756534,114511408,35,"C",20,,""
2019,139756533,114511408,16,"C",20,,""
2019,139756539,114511411,5,"C",18,,""
2019,139756538,114511411,14,"A",18,,""
2019,139756546,114511417,47,"C",20,,""
2019,139756549,114511420,45,"C",43,,""
2019,139756703,114511561,45,"C",13,,""
2019,139756712,114511569,45,"C",20,,""
2019,139756716,114511573,45,"C",13,,""
2019,139756738,114511595,44,"C",18,,""
2019,144690842,119394450,45,"C",7,,""
2019,144690979,119394569,44,"C",20,,""
2019,139847558,114578966,7,"C",18,,""
2019,130271500,106056435,2,"C",14,,""
2019,130261694,106056442,45,"C",7,,""
2019,130266714,106046589,51,"C",20,,""
2019,130266730,106051573,51,"C",13,,""
2019,130266868,106056562,51,"C",20,,""
2019,130266929,106056600,51,"C",15,,""
2019,130266978,106046787,45,"C",20,,""
2019,130271827,106056725,2,"C",14,,""
2019,139756710,114511567,51,"C",38,,""
2019,143060526,117929280,27,"C",18,,""
2019,143060657,117929398,45,"C",8,,""
2019,143060727,117929459,5,"C",20,,""
2019,143060728,117929460,39,"C",13,,""
2019,143060757,117929488,14,"C",20,,""
2019,143060771,117929502,45,"C",23,,""
2019,143060772,117929503,45,"C",34,,""
2019,143060774,117929505,5,"C",41,,""
2019,143060775,117929506,56,"C",41,,""
2019,138732131,113606123,40,"C",13,,""
2019,138732148,113606139,44,"C",20,,""
2019,138732149,113606140,40,"C",13,,""
2019,138732150,113606141,5,"C",13,,""
2019,138732151,113606142,49,"A",20,,"N"
2019,138732153,113606144,21,"C",13,,""
2019,138732156,113606147,21,"C",46,,""
2019,138732157,113606148,40,"C",18,,""
2019,138732167,113606158,21,"C",13,,""
2019,138732168,113606159,14,"C",18,,""
2019,138732174,113606165,63,"C",25,,""
2019,138732253,113606238,27,"C",20,,""
2019,138732254,113606239,5,"C",21,,""
2019,138732255,113606240,39,"C",13,,""
2019,138732184,113606175,51,"C",11,,""
2019,138732190,113606180,51,"C",5,,""
2019,138732213,113606201,51,"C",13,,""
2019,138732215,113606203,49,"C",20,,"F"
2019,138732220,113606205,51,"C",20,,""
2019,138732219,113606205,27,"C",20,,""
2019,138732223,113606208,21,"C",18,,""
2019,138732228,113606213,14,"C",13,,""
2019,138732230,113606215,51,"C",13,,""
2019,138732238,113606223,39,"C",13,,""
2019,138732239,113606224,29,"C",20,,""
2019,138732240,113606225,49,"C",20,,"F"
2019,145681208,120251136,27,"C",20,,""
2019,145681229,120256103,38,"C",20,,""
2019,145681230,120256104,41,"C",3,,""
2019,143300711,118158206,16,"C",13,,""
2019,143300712,118158207,35,"C",13,,""
2019,143300756,118158244,63,"C",47,,""
2019,130352660,106119277,14,"C",18,,""
2019,130352670,106115397,14,"C",13,,""
2019,130352731,106119352,14,"C",13,,""
2019,130352916,106115614,51,"C",20,,""
2019,139847586,114578988,21,"C",18,,""
2019,139847794,114579157,14,"C",18,,""
2019,139847793,114579157,5,"C",18,,""
2019,141374706,116399298,49,"C",18,,"F"
2019,141374778,116399365,51,"C",20,,""
2019,141374798,116399380,45,"C",5,,""
2019,141374824,116399403,5,"C",20,,""
2019,141374858,116399436,41,"C",47,,""
2019,139756273,114511180,51,"C",3,,""
2019,139756728,114511585,41,"C",20,,""
2019,139756338,114511235,63,"C",20,,""
2019,139756340,114511237,5,"C",18,,""
2019,139756342,114511239,14,"C",13,,""
2019,139756345,114511242,14,"C",18,,""
2019,139756389,114511281,51,"C",19,,""
2019,139756451,114511336,45,"C",20,,""
2019,139756453,114511338,44,"C",20,,""
2019,139756455,114511340,23,"C",8,,""
2019,139756457,114511342,41,"C",7,,""
2019,139756624,114511487,45,"C",13,,""
2019,139756722,114511579,49,"C",18,,"F"
2019,130348105,106119610,5,"C",4,,""
2019,130348129,106115665,5,"C",11,,""
2019,130348156,106119643,44,"C",20,,""
2019,130348197,106119673,5,"C",20,,""
2019,130357124,106123736,5,"C",18,,""
2019,130348341,106119787,45,"C",25,,""
2019,130357229,106119948,23,"C",7,,""
2019,130348531,106115850,35,"C",13,,""
2019,130348529,106115850,16,"C",13,,""
2019,130357277,106120019,5,"C",18,,""
2019,130357276,106120019,41,"C",43,,""
2019,130357278,106120019,14,"C",18,,""
2019,130348584,106120023,28,"C",13,,""
2019,130348585,106120023,45,"C",13,,""
2019,130353239,106120023,5,"C",13,,""
2019,130348598,106120031,41,"C",23,,""
2019,130357287,106115882,14,"C",18,,""
2019,130348600,106115882,5,"C",18,,""
2019,130348610,106115886,5,"C",23,,""
2019,130348609,106115886,50,"C",23,,""
2019,130357298,106123899,45,"C",20,,""
2019,130348632,106115900,14,"C",24,,""
2019,130348631,106115900,5,"C",24,,""
2019,130348637,106115905,23,"C",8,,""
2019,130353282,106120072,41,"C",8,,""
2019,139716196,114466120,7,"C",18,,""
2019,139716200,114466124,47,"C",20,,""
2019,139716233,114466154,14,"C",13,,""
2019,139716238,114466158,5,"C",20,,""
2019,143300437,118157960,45,"C",20,,""
2019,143300435,118157958,21,"C",13,,""
2019,143300439,118157962,5,"C",18,,""
2019,143300440,118157963,45,"C",25,,""
2019,143300557,118158066,2,"C",20,,""
2019,143300615,118158119,5,"C",38,,""
2019,143300629,118158132,5,"C",13,,""
2019,143300678,118158176,56,"C",20,,""
2019,143300683,118158181,16,"C",18,,""
2019,143300685,118158183,45,"C",18,,""
2019,143300687,118158184,35,"C",13,,""
2019,143300686,118158184,16,"C",13,,""
2019,143300689,118158186,21,"C",18,,""
2019,143300690,118158187,5,"C",18,,""
2019,143300695,118158191,47,"C",23,,""
2019,143300696,118158192,16,"C",13,,""
2019,143300699,118158195,16,"C",13,,""
2019,143300700,118158196,16,"C",13,,""
2019,143300708,118158203,16,"C",13,,""
2019,143300721,118158214,16,"C",13,,""
2019,144180164,118935257,5,"C",20,,""
2019,144180169,118935261,44,"C",2,,""
2019,144180172,118935264,21,"C",18,,""
2019,144180243,118935330,44,"C",20,,""
2019,144180416,118935482,21,"C",13,,""
2019,142338069,117250268,36,"C",20,,""
2019,139716245,114466164,62,"C",18,,""
2019,139802438,114540301,47,"C",20,,""
2019,130272019,106047113,2,"C",20,,""
2019,130262420,106052147,41,"C",25,,""
2019,130272050,106056910,5,"C",20,,""
2019,130267415,106056922,5,"C",20,,""
2019,130350251,106131473,16,"C",13,,""
2019,130358268,106131508,28,"C",18,,""
2019,130350338,106131541,51,"C",20,,""
2019,130354329,106131548,23,"C",17,,""
2019,130350362,106124863,23,"C",24,,""
2019,130350368,106131569,2,"C",8,,""
2019,130354369,106131606,51,"C",20,,""
2019,130350427,106131618,51,"C",20,,""
2019,130354385,106131628,47,"C",28,,""
2019,130350504,106124910,51,"C",20,,""
2019,130350508,106127000,51,"C",20,,""
2019,130350512,106131681,51,"C",20,,""
2019,130350515,106131685,5,"C",20,,""
2019,130354409,106127002,51,"C",13,,""
2019,130350530,106131695,45,"C",11,,""
2019,130354417,106131702,23,"C",7,,""
2019,130350547,106131711,7,"C",18,,""
2019,130350574,106131730,21,"C",18,,""
2019,130354449,106127034,35,"C",13,,""
2019,143518109,118354802,21,"C",13,,""
2019,143518110,118354803,7,"C",18,,""
2019,143518144,118354833,16,"C",13,,""
2019,147231892,121607319,11,"C",25,,""
2019,140130498,115219975,11,"C",2,,""
2019,140130499,115219976,2,"C",20,,""
2019,143518167,118354855,45,"C",20,,""
2019,143518168,118354856,45,"C",20,,""
2019,143518172,118354860,5,"C",13,,""
2019,143518271,118354948,45,"C",24,,""
2019,143518175,118354863,40,"C",13,,""
2019,143518176,118354864,21,"C",18,,""
2019,143518292,118354967,45,"C",42,,""
2019,140130558,115220031,14,"C",13,,""
2019,140130523,115219997,23,"C",12,,""
2019,140130526,115220000,23,"C",8,,""
2019,143518200,118354887,45,"C",12,,""
2019,143518273,118354950,14,"C",18,,""
2019,140130550,115220024,45,"A",7,,""
2019,143518274,118354951,13,"C",3,,""
2019,143518303,118354977,29,"C",20,,""
2019,143518240,118354920,7,"C",13,,""
2019,143518275,118354952,5,"C",20,,""
2019,140130561,115220034,5,"C",21,,""
2019,140130563,115220036,21,"C",13,,""
2019,143518277,118354954,5,"C",20,,""
2019,143518278,118354955,21,"C",13,,""
2019,143518279,118354956,5,"C",18,,""
2019,143518293,118354968,45,"C",7,,""
2019,143518294,118354968,41,"C",7,,""
2019,143518295,118354969,18,"C",13,,""
2019,143300430,118157953,47,"C",5,,""
2019,143300431,118157954,7,"C",13,,""
2019,143300639,118158141,14,"C",13,,""
