"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,125636121,11,1,,139580909
2019,125636217,10,,,139581018
2019,125636583,10,,,139581458
2019,125636234,10,,,139581046
2019,125636235,27,1,,139581047
2019,125636235,47,0,,139581048
2019,125636237,10,,,139581050
2019,125636582,3,1,,139581457
2019,125636581,10,,,139581456
2019,125746996,9,0,,139598436
2019,120360279,24,501,,132650089
2019,120360300,7,100,,132650114
2019,120360372,47,0,,132650222
2019,119464754,9,0,,131787576
2019,119464754,20,1,,131787573
2019,119464754,51,0,,131787574
2019,119464754,47,0,,131787575
2019,119464754,25,40,,131787572
2019,119464819,63,5,,131787655
2019,119464925,61,1,29-SEP-19,131787790
2019,119464926,61,600,,131787791
2019,119464930,63,210,17-SEP-19,131787796
2019,119464931,63,210,,131787797
2019,119465024,63,0,,131787905
2019,119465024,61,700,,131787904
2019,119465181,25,150,,131788112
2019,119465181,20,100,,131788113
2019,119465182,10,1,,131788114
2019,119465282,20,2000,,131788239
2019,119465298,9,0,,131788256
2019,119465301,38,1,,131788259
2019,119465300,38,1,14-SEP-19,131788258
2019,119465366,25,5,,131788352
2019,119465393,6,90,,131788387
2019,119486411,6,200,,131810546
2019,119486444,61,300,,131810597
2019,119486444,7,200,,131810598
2019,119486444,3,1,,131810600
2019,119486444,6,200,,131810599
2019,119134576,16,299,,131383098
2019,119134576,63,1097,,131383099
2019,119134579,63,1,,131383102
2019,118693985,3,1,,130936404
2019,118693988,3,1,,130936407
2019,118694002,20,600,,130936428
2019,118694002,52,0,,130936429
2019,118694002,9,0,,130936430
2019,118694581,3,1,,130942360
2019,118694583,52,0,,130942365
2019,118699576,19,13,,130947339
2019,118709592,63,80,,130947392
2019,118709592,51,0,,130947391
2019,118709592,7,2400,,130947389
2019,118709592,25,80,,130947390
2019,118709605,63,500,,130947408
2019,118709615,20,30000,,130947423
2019,118729580,38,131,,130947446
2019,118729657,10,,,130947551
2019,118729664,11,1,,130947560
2019,118734692,10,,,130947724
2019,117963231,3,4000,,129223016
2019,117963230,3,2000,14-AUG-19,129223015
