"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,12,125232138,7.6,1,14038326
2019,5,125232138,1,11,14038328
2019,12,125232138,1,11,14038327
2019,1,125232154,1.3,1,14038332
2019,12,125232154,16.6,1,14038333
2019,17,125232158,,,14038343
2019,1,125232179,0.18,1,14038350
2019,5,125232179,1,1,14038351
2019,12,120386902,1.79,1,12808248
2019,5,120387100,1.1,1,12808290
2019,12,120387103,0.17,1,12808291
2019,12,121314957,2.6,1,13046776
2019,11,121314957,0.6,1,13046777
2019,5,121314959,1,11,13046778
2019,16,121314960,1,11,13046779
2019,5,121315695,0.7,1,13046828
2019,12,121315737,0.42,1,13046834
2019,12,121317463,1,11,13046976
2019,5,121317463,0.6,1,13046975
2019,5,120391538,1.4,1,12797237
2019,5,119614624,1.13,1,12537522
2019,12,119452708,2,9,12450783
2019,5,119810265,1,11,12592516
2019,12,119829589,1,11,12602472
2019,5,121368278,1,11,13054506
2019,12,120451864,2,1,12815486
2019,5,120451955,0.08,1,12815516
2019,12,120439637,1.6,1,12814338
2019,12,121165675,1,11,13001282
2019,17,122971780,1,11,13432814
2019,8,122973406,15,9,13432952
2019,5,120362443,5,1,12794800
2019,12,120443653,0.86,1,12815030
2019,5,121101573,1,11,12976404
2019,12,121099322,1.9,1,12975906
2019,12,121099323,0.8,1,12975907
2019,17,122068718,1,11,13201100
2019,16,122068718,1,11,13201099
2019,5,120452261,1,11,12815555
2019,5,120452261,1.1,7,12815554
2019,5,120452261,3.1,1,12815553
2019,5,121099153,8.98,1,12975882
2019,12,121099153,0.88,1,12975883
2019,12,121101600,0.9,1,12976410
2019,5,121101644,1.6,1,12976415
2019,5,120451914,2,1,12815504
2019,16,120451914,21,9,12815503
2019,4,118346286,18.4,1,11977560
2019,17,118346286,0.4,1,11977559
2019,4,118346286,1,9,11977561
2019,12,121314937,1.24,1,13046771
2019,5,121314945,10.1,1,13046773
2019,5,121314962,1,11,13046781
2019,17,121168770,1,11,13001775
2019,5,120451859,1,11,12815485
2019,5,121270193,1,1,13042560
2019,11,119308869,1,11,12403568
2019,4,123562676,1,9,13617475
2019,12,121315700,0.5,1,13046829
2019,5,121315793,64.2,1,13046838
2019,12,121317338,4.46,1,13046920
2019,12,121354946,4.95,1,13053302
2019,4,121354946,1,11,13053303
2019,12,119609793,1.9,1,12537493
2019,12,119614612,25.8,1,12537519
2019,8,119614612,5,9,12537521
2019,5,119614612,64.9,1,12537520
2019,12,121101599,4.8,1,12976409
2019,12,121099408,1.1,1,12975922
2019,2,121099408,1,11,12975921
2019,12,120451943,50.92,1,12815507
2019,2,120451943,3.62,1,12815508
2019,17,120451943,6.05,1,12815509
2019,12,120452258,1,11,12815552
2019,2,121165634,9.5,1,13001263
2019,5,121165634,379.6,1,13001262
2019,5,121165634,1,11,13001264
2019,17,121165693,1,11,13001299
2019,12,121165738,1,11,13001354
2019,16,122614912,56,9,13335001
2019,12,122614912,8,1,13335002
2019,5,122614994,2,1,13335015
2019,17,122615002,1,11,13335017
2019,5,121354646,1,11,13053223
2019,5,121354905,19.01,1,13053287
2019,17,121354905,1,9,13053286
2019,18,121354905,,,13053288
2019,4,121355043,1,11,13053330
2019,1,121638238,0.3,1,13123531
2019,5,121638273,1.52,1,13123542
2019,12,121638275,0.8,1,13123543
2019,2,121099050,1,11,12975864
2019,7,121354990,9,9,13053312
2019,8,120064765,1,9,12717513
2019,12,120429250,1.75,1,12814303
2019,12,121317684,0.48,1,13047020
2019,5,121317760,11,1,13047025
2019,5,123562587,1,11,13609069
2019,1,123562587,1,11,13609070
2019,5,120094775,0.4,1,12742476
2019,12,120094775,0.001,1,12742475
2019,12,121638814,1,1,13123565
2019,12,121168111,1,9,13001632
2019,12,121168379,0.6,1,13001684
2019,17,121638074,1,11,13123459
2019,16,121638074,1,11,13123460
2019,12,121638203,181,9,13123514
2019,5,121638203,60.7,1,13123513
2019,18,121638203,,,13123515
2019,12,121638793,0,1,13123563
2019,12,121781266,2,9,13137945
2019,17,121781267,,,13137946
2019,12,121781405,1,11,13137967
2019,12,121781518,33.38,1,13138027
2019,12,121781611,1,9,13138041
2019,2,121781952,0.8,1,13138134
2019,17,121781956,1,11,13138137
2019,4,121781963,0.38,1,13138145
2019,5,121926933,1,11,13168322
2019,1,121928418,1,11,13168750
2019,15,121929117,,,13168803
2019,17,121929348,23.77,1,13168816
2019,17,121929356,1,11,13168817
2019,12,121929356,1,11,13168818
2019,1,121929600,10.5,1,13168847
2019,5,121929600,6.1,1,13168846
2019,5,121929622,,,13168865
2019,5,121929623,4.29,1,13168866
2019,16,121929764,26,9,13168911
2019,12,121929764,28.002,1,13168912
2019,5,121929764,5,1,13168913
2019,12,120286587,0.2,1,12792914
2019,4,120286587,0.61,1,12792912
2019,1,120286587,2.51,1,12792913
2019,16,121109601,1,11,12982472
2019,12,121109602,1,11,12982473
2019,5,121354827,14,1,13053267
2019,5,121354996,62.7,1,13053316
2019,13,121841688,194.192,1,13153823
2019,5,121314946,28,1,13046774
2019,16,121314946,1,11,13046775
2019,5,122734823,,,13354699
2019,5,122734824,0.4,1,13354700
2019,12,121781367,1,11,13137962
2019,8,121781564,2,9,13138034
2019,8,121781602,2,9,13138039
2019,12,121781619,2.34,1,13138042
2019,12,121781670,6,1,13138057
2019,5,121781723,0.01,1,13138061
2019,12,121781733,1,11,13138065
2019,5,121795718,1,11,13152560
2019,17,121781920,,,13138125
2019,12,121795441,1,9,13152486
2019,8,121781951,6,9,13138133
2019,12,121795219,1,3,13138633
2019,17,121795491,1,9,13152511
2019,17,121929610,,,13168858
2019,5,121929614,7.93,1,13168861
2019,8,121929614,1,11,13168862
2019,1,121929614,1.37,1,13168860
2019,12,121929696,1,11,13168888
2019,15,121929740,27,9,13168904
2019,12,121929784,,,13168917
2019,12,120452239,0.22,1,12815547
2019,5,120452216,8.4,1,12815545
2019,7,120453315,15,1,12815885
2019,17,122416125,1,11,13265524
2019,12,122416302,0.3,1,13265569
2019,5,122416302,8.6,1,13265570
2019,12,122416401,1,1,13265587
2019,12,122416526,56,9,13265617
2019,8,122416526,1,1,13265618
2019,12,122416529,1,11,13265620
2019,4,122429713,1.6,1,13272505
2019,17,122615035,1,11,13335022
2019,17,122615135,1,11,13335069
2019,5,121638065,,,13123456
2019,5,121638067,,,13123457
2019,12,121650862,1,9,13123892
2019,5,121650862,4,1,13123893
2019,5,121929782,1.3,1,13168916
2019,5,121929814,1,11,13168923
2019,16,121929852,38.75,9,13168931
2019,12,124919816,0,7,13952508
2019,5,121638174,1,11,13123502
2019,5,121781260,2.7,1,13137944
2019,12,121781260,0.5,1,13137943
2019,5,121781321,1,11,13137954
2019,5,121781322,1,11,13137955
2019,16,121781323,1,11,13137956
2019,5,121781324,1,11,13137957
2019,12,121781325,1,11,13137958
2019,5,121781423,0.9,1,13137970
2019,1,121781423,0.2,1,13137971
2019,5,121781993,284,1,13138154
2019,16,121781434,1,1,13137978
2019,12,121781446,0.2,1,13137986
2019,12,121781450,1,11,13137988
2019,17,121781457,1,11,13137994
