"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,9128595,9305,3,2019,"I",18-JUL-19,"Y","F","C","2019_03_MN0510000_NIBRS",49502383,0
2019,9128596,9305,4,2019,"I",18-JUL-19,"Y","F","C","2019_04_MN0510000_NIBRS",49502386,0
2019,9128504,9305,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0510000_NIBRS",49502389,0
2019,9128505,9305,6,2019,"I",18-JUL-19,"Y","F","C","2019_06_MN0510000_NIBRS",49498788,0
2019,9220079,9305,7,2019,"I",27-AUG-19,"Y","X","C","2019_07_MN0510000_NIBRS",51366597,0
2019,9966196,9305,8,2019,"I",11-SEP-19,"Y","X","C","2019_08_MN0510000_NIBRS",56293205,0
2019,10287416,9305,9,2019,"I",02-OCT-19,"Y","X","C","2019_09_MN0510000_NIBRS",57624327,0
2019,10652579,9305,10,2019,"I",12-NOV-19,"Y","X","C","2019_10_MN0510000_NIBRS",59696734,0
2019,10888257,9305,11,2019,"I",18-DEC-19,"Y","X","C","2019_11_MN0510000_NIBRS",62683632,0
2019,10944218,9305,12,2019,"I",02-JAN-20,"Y","X","C","2019_12_MN0510000_NIBRS",62681649,0
2019,8325106,23296,1,2019,"I",,"Y","G","C","2019_01_MN0560200_NIBRS",37273964,0
2019,8325195,23296,2,2019,"I",,"Y","G","C","2019_02_MN0560200_NIBRS",65151960,0
2019,8325284,23296,3,2019,"I",,"Y","G","C","2019_03_MN0560200_NIBRS",49496753,0
2019,8325373,23296,4,2019,"I",,"Y","G","C","2019_04_MN0560200_NIBRS",49496743,0
2019,8325462,23296,5,2019,"I",,"Y","G","C","2019_05_MN0560200_NIBRS",49490225,0
2019,8325551,23296,6,2019,"I",,"Y","G","C","2019_06_MN0560200_NIBRS",50857880,0
2019,8326640,23296,7,2019,"I",,"Y","G","C","2019_07_MN0560200_NIBRS",55189364,0
2019,8326729,23296,8,2019,"I",,"Y","G","C","2019_08_MN0560200_NIBRS",57631988,0
2019,8326818,23296,9,2019,"I",,"Y","G","C","2019_09_MN0560200_NIBRS",63203227,0
2019,8326907,23296,10,2019,"I",,"Y","G","C","2019_10_MN0560200_NIBRS",66618226,0
2019,8326996,23296,11,2019,"I",,"Y","G","C","2019_11_MN0560200_NIBRS",65152626,0
2019,8327085,23296,12,2019,"I",,"Y","G","C","2019_12_MN0560200_NIBRS",67847605,0
2019,8149635,26905,1,2019,"I",,"Y","G","C","2019_01_MN0460200_NIBRS",49480975,0
2019,8157297,26905,2,2019,"Z",,"Y","G","C","2019_02_MN0460200_NIBRS",37288062,0
2019,8164959,26905,3,2019,"I",,"Y","G","C","2019_03_MN0460200_NIBRS",50859494,0
2019,8172621,26905,4,2019,"I",,"Y","G","C","2019_04_MN0460200_NIBRS",49485260,0
2019,8180283,26905,5,2019,"I",,"Y","G","C","2019_05_MN0460200_NIBRS",50858339,0
2019,8187945,26905,6,2019,"I",,"Y","G","C","2019_06_MN0460200_NIBRS",50857142,0
2019,8195607,26905,7,2019,"I",,"Y","G","C","2019_07_MN0460200_NIBRS",69585775,0
2019,8203269,26905,8,2019,"I",,"Y","G","C","2019_08_MN0460200_NIBRS",51368135,0
2019,8210931,26905,9,2019,"I",,"Y","G","C","2019_09_MN0460200_NIBRS",57309296,0
2019,8218593,26905,10,2019,"I",,"Y","G","C","2019_10_MN0460200_NIBRS",63199831,0
2019,8226255,26905,11,2019,"U",,"Y","G","C","2019_11_MN0460200_NIBRS",,0
2019,8233917,26905,12,2019,"U",,"Y","G","C","2019_12_MN0460200_NIBRS",,0
2019,8357284,27570,1,2019,"Z",,"Y","G","C","2019_01_MN0800300_NIBRS",67502156,0
2019,8357322,27570,2,2019,"I",,"Y","G","C","2019_02_MN0800300_NIBRS",49491449,0
2019,8357360,27570,3,2019,"Z",,"Y","G","C","2019_03_MN0800300_NIBRS",67502158,0
2019,8357398,27570,4,2019,"U",,"Y","G","C","2019_04_MN0800300_NIBRS",,0
2019,8357436,27570,5,2019,"U",,"Y","G","C","2019_05_MN0800300_NIBRS",,0
2019,8357474,27570,6,2019,"I",,"Y","G","C","2019_06_MN0800300_NIBRS",55732538,0
2019,8357512,27570,7,2019,"I",,"Y","G","C","2019_07_MN0800300_NIBRS",55732790,0
2019,8357550,27570,8,2019,"I",,"Y","G","C","2019_08_MN0800300_NIBRS",55732541,0
2019,8359588,27570,9,2019,"I",,"Y","G","C","2019_09_MN0800300_NIBRS",63192472,0
2019,8359626,27570,10,2019,"Z",,"Y","G","C","2019_10_MN0800300_NIBRS",69160013,0
2019,8359664,27570,11,2019,"U",,"Y","G","C","2019_11_MN0800300_NIBRS",,0
2019,8359702,27570,12,2019,"Z",,"Y","G","C","2019_12_MN0800300_NIBRS",67516391,0
2019,8149644,26926,1,2019,"I",,"Y","G","C","2019_01_MN0250600_NIBRS",37284945,0
2019,8157306,26926,2,2019,"I",,"Y","G","C","2019_02_MN0250600_NIBRS",37284948,0
2019,8164968,26926,3,2019,"Z",,"Y","G","C","2019_03_MN0250600_NIBRS",49497688,0
2019,8172630,26926,4,2019,"Z",,"Y","G","C","2019_04_MN0250600_NIBRS",49491116,0
2019,8180292,26926,5,2019,"I",,"Y","G","C","2019_05_MN0250600_NIBRS",49492688,0
2019,8187954,26926,6,2019,"I",,"Y","G","C","2019_06_MN0250600_NIBRS",49491105,0
2019,8195616,26926,7,2019,"I",,"Y","G","C","2019_07_MN0250600_NIBRS",51337596,0
2019,8203278,26926,8,2019,"I",,"Y","G","C","2019_08_MN0250600_NIBRS",51209167,0
2019,8210940,26926,9,2019,"I",,"Y","G","C","2019_09_MN0250600_NIBRS",58232052,0
2019,8218602,26926,10,2019,"U",,"Y","G","C","2019_10_MN0250600_NIBRS",,0
2019,8226264,26926,11,2019,"Z",,"Y","G","C","2019_11_MN0250600_NIBRS",69937784,0
2019,8233926,26926,12,2019,"I",,"Y","G","C","2019_12_MN0250600_NIBRS",65153319,0
2019,8149663,27345,1,2019,"Z",,"Y","G","C","2019_01_MN0560600_NIBRS",37143302,0
2019,8157325,27345,2,2019,"Z",,"Y","G","C","2019_02_MN0560600_NIBRS",67134852,0
2019,8164987,27345,3,2019,"Z",,"Y","G","C","2019_03_MN0560600_NIBRS",49492230,0
2019,8172649,27345,4,2019,"Z",,"Y","G","C","2019_04_MN0560600_NIBRS",67134854,0
2019,8180311,27345,5,2019,"I",,"Y","G","C","2019_05_MN0560600_NIBRS",51369356,0
2019,8187973,27345,6,2019,"I",,"Y","G","C","2019_06_MN0560600_NIBRS",50848557,0
2019,8195635,27345,7,2019,"I",,"Y","G","C","2019_07_MN0560600_NIBRS",67135581,0
2019,8203297,27345,8,2019,"Z",,"Y","G","C","2019_08_MN0560600_NIBRS",57451558,0
2019,8210959,27345,9,2019,"Z",,"Y","G","C","2019_09_MN0560600_NIBRS",57451556,0
2019,8218621,27345,10,2019,"I",,"Y","G","C","2019_10_MN0560600_NIBRS",67135584,0
2019,8226283,27345,11,2019,"Z",,"Y","G","C","2019_11_MN0560600_NIBRS",69854721,0
2019,8233945,27345,12,2019,"Z",,"Y","G","C","2019_12_MN0560600_NIBRS",67139598,0
2019,8720690,25721,2,2019,"I",13-MAR-19,"Y","F","C","2019_02_MN0110700_NIBRS",37291167,0
2019,9128569,25721,3,2019,"I",18-JUL-19,"Y","F","C","2019_03_MN0110700_NIBRS",49490868,0
2019,9128473,25721,4,2019,"I",18-JUL-19,"Y","F","C","2019_04_MN0110700_NIBRS",49497451,0
2019,9128474,25721,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0110700_NIBRS",49497453,0
2019,9128475,25721,6,2019,"I",18-JUL-19,"Y","F","C","2019_06_MN0110700_NIBRS",49497461,0
2019,9219001,25721,7,2019,"I",26-AUG-19,"Y","X","C","2019_07_MN0110700_NIBRS",51083679,0
2019,9225754,25721,8,2019,"I",28-AUG-19,"Y","X","C","2019_08_MN0110700_NIBRS",51208498,0
2019,10291799,25721,9,2019,"I",04-OCT-19,"Y","X","C","2019_09_MN0110700_NIBRS",57307314,0
2019,10332737,25721,10,2019,"I",11-OCT-19,"Y","X","C","2019_10_MN0110700_NIBRS",58890807,0
2019,10685793,25721,11,2019,"I",13-NOV-19,"Y","X","C","2019_11_MN0110700_NIBRS",60851969,0
2019,10926595,25721,12,2019,"I",28-DEC-19,"Y","X","C","2019_12_MN0110700_NIBRS",62511012,0
2019,9208644,28914,4,2019,"I",26-AUG-19,"Y","X","C","2019_04_MN0080400_NIBRS",69177431,0
2019,11781463,28914,5,2019,"Z",16-MAR-20,"Y","X","C","2019_05_MN0080400_NIBRS",69159304,0
2019,11786574,28914,6,2019,"Z",16-MAR-20,"Y","X","C","2019_06_MN0080400_NIBRS",69177293,0
2019,11781511,28914,7,2019,"Z",16-MAR-20,"Y","X","C","2019_07_MN0080400_NIBRS",69159417,0
2019,9275049,28914,8,2019,"Z",04-SEP-19,"Y","X","C","2019_08_MN0080400_NIBRS",51817427,0
2019,10284226,28914,9,2019,"Z",01-OCT-19,"Y","X","C","2019_09_MN0080400_NIBRS",57266075,0
2019,10649067,28914,10,2019,"Z",12-NOV-19,"Y","X","C","2019_10_MN0080400_NIBRS",59691639,0
2019,10781807,28914,11,2019,"Z",03-DEC-19,"Y","X","C","2019_11_MN0080400_NIBRS",60990776,0
2019,10948099,28914,12,2019,"I",03-JAN-20,"Y","X","C","2019_12_MN0080400_NIBRS",62723566,0
2019,9128588,28494,3,2019,"I",18-JUL-19,"Y","F","C","2019_03_MN0320300_NIBRS",49502225,0
2019,9128589,28494,4,2019,"I",18-JUL-19,"Y","F","C","2019_04_MN0320300_NIBRS",49498667,0
2019,9128590,28494,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0320300_NIBRS",49502229,0
2019,9207544,28494,6,2019,"I",26-AUG-19,"Y","X","C","2019_06_MN0320300_NIBRS",51699871,0
2019,9222565,28494,7,2019,"I",27-AUG-19,"Y","X","C","2019_07_MN0320300_NIBRS",51102345,0
2019,11785910,28494,10,2019,"Z",16-MAR-20,"Y","X","C","2019_10_MN0320300_NIBRS",69176580,0
2019,10957986,28494,12,2019,"I",08-JAN-20,"Y","X","C","2019_12_MN0320300_NIBRS",62888258,0
2019,9192894,25740,2,2019,"Z",23-AUG-19,"Y","X","C","2019_02_MN0420300_NIBRS",59623043,0
2019,9129674,25740,3,2019,"I",18-JUL-19,"Y","F","C","2019_03_MN0420300_NIBRS",49497988,0
2019,9129675,25740,4,2019,"I",18-JUL-19,"Y","F","C","2019_04_MN0420300_NIBRS",49491452,0
2019,9128579,25740,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0420300_NIBRS",49497995,0
2019,9128490,25740,6,2019,"I",18-JUL-19,"Y","F","C","2019_06_MN0420300_NIBRS",49492936,0
2019,9228767,25740,7,2019,"I",28-AUG-19,"Y","X","C","2019_07_MN0420300_NIBRS",51195523,0
2019,9227371,25740,8,2019,"I",28-AUG-19,"Y","X","C","2019_08_MN0420300_NIBRS",58907862,0
2019,10293577,25740,9,2019,"I",04-OCT-19,"Y","X","C","2019_09_MN0420300_NIBRS",57316639,0
2019,10294711,25740,10,2019,"I",05-OCT-19,"Y","X","C","2019_10_MN0420300_NIBRS",57346875,0
2019,10643152,25740,11,2019,"I",08-NOV-19,"Y","X","C","2019_11_MN0420300_NIBRS",59908935,0
