"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,149272440,154270370,18,49414534
2020,149272459,154270386,18,49414576
2020,149272459,154270387,18,49414577
2020,149272458,154270387,18,49414574
2020,149272459,154270388,18,49414578
2020,149272458,154270388,18,49414575
2020,149272458,154270386,18,49414573
2020,147419277,152436190,1,48589559
2020,147419278,152436191,1,48589560
2020,148296466,153290001,1,48994399
2020,148296466,153290002,1,48994400
2020,148296466,153290003,1,48994401
2020,149110429,154110100,24,49347720
2020,149110560,154110219,1,49347738
2020,149110743,154110408,1,49347788
2020,148678769,153667401,27,49156038
2020,148945954,153938207,1,49273314
2020,148908912,153895601,3,49257263
2020,148986437,153973605,1,49284121
2020,149280233,154273265,19,49415726
2020,149280308,154273362,24,49415757
2020,149280308,154273363,24,49415756
2020,149280310,154273366,24,49415758
2020,149280310,154273367,24,49415759
2020,149280311,154273368,18,49415760
2020,149280311,154273369,18,49415761
2020,149280311,154273371,18,49415763
2020,149280311,154273370,18,49415762
2020,149280313,154273376,24,49415768
2020,148275377,153260890,14,48990413
2020,148275598,153261115,18,48990504
2020,148275598,153261116,18,48990501
2020,148275598,153261117,18,48990503
2020,148275598,153261114,18,48990502
2020,148275600,153261119,18,48990505
2020,148282588,153275976,19,48992414
2020,148153669,153137294,18,48943024
2020,148153669,153137293,18,48943023
2020,148153734,153137377,25,48943109
2020,148153734,153137376,18,48943106
2020,148153737,153137374,18,48943128
2020,148153732,153137377,18,48943092
2020,148153735,153137380,18,48943115
2020,148153736,153137375,18,48943120
2020,148153734,153137374,18,48943103
2020,148153733,153137373,18,48943094
2020,148153735,153137373,18,48943110
2020,148153732,153137376,18,48943090
2020,148153737,153137376,18,48943130
2020,148153734,153137378,18,48943108
2020,148153736,153137379,25,48943125
2020,148153736,153137380,18,48943122
2020,148153733,153137379,18,48943097
2020,148153734,153137373,18,48943102
2020,148153736,153137374,18,48943119
2020,148153732,153137375,18,48943088
2020,148153733,153137374,18,48943095
2020,148153732,153137373,18,48943086
2020,148153735,153137379,18,48943113
2020,148153732,153137378,18,48943093
2020,148153735,153137378,25,48943117
2020,148153736,153137376,18,48943121
2020,148153735,153137377,18,48943116
2020,148153734,153137379,18,48943105
2020,148153735,153137374,18,48943111
2020,148153736,153137378,18,48943124
2020,148153737,153137375,18,48943129
2020,148153733,153137375,18,48943096
2020,148153733,153137376,25,48943101
2020,148153735,153137375,18,48943112
2020,148153734,153137380,18,48943107
2020,148153737,153137377,18,48943131
2020,148153732,153137374,18,48943087
2020,148153735,153137376,18,48943114
2020,148153737,153137380,25,48943133
2020,148153737,153137379,1,48943126
2020,148153733,153137378,18,48943100
2020,148153737,153137373,18,48943127
2020,148153732,153137380,18,48943091
2020,148153736,153137373,18,48943118
2020,148153736,153137377,18,48943123
2020,148153732,153137379,18,48943089
2020,148153733,153137380,18,48943098
2020,148153734,153137375,18,48943104
2020,148153733,153137377,18,48943099
2020,148153737,153137378,18,48943132
2020,147465053,152490300,3,48610198
2020,148679370,153667983,18,49156183
2020,148679623,153668255,18,49156318
2020,148679623,153668257,18,49156320
2020,148679623,153668256,18,49156319
2020,148679623,153668254,18,49156321
2020,148679628,153668260,14,49156323
2020,148819015,153806312,1,49215068
2020,148819558,153806866,18,49215240
2020,148819558,153806869,18,49215242
2020,148819558,153806867,18,49215244
2020,148819558,153806870,18,49215243
2020,148819558,153806868,18,49215241
2020,148819558,153806864,18,49215238
2020,148819558,153806865,18,49215239
2020,148819558,153806863,18,49215237
2020,147419412,152436310,1,48589627
2020,147419604,152436440,1,48589683
2020,147419606,152436442,3,48589685
2020,148679608,153668236,16,49156302
2020,148817934,153805242,3,49214700
2020,148833455,153825314,3,49219321
2020,148678549,153667183,5,49155916
2020,148678548,153667183,25,49155915
2020,148678548,153667185,24,49155914
2020,148678549,153667184,25,49155918
2020,148678549,153667185,24,49155917
2020,148678550,153667185,25,49155921
2020,148678550,153667183,24,49155919
2020,148678548,153667184,17,49155913
2020,148678550,153667184,24,49155920
2020,148678554,153667188,24,49155928
2020,148678557,153667192,5,49155932
2020,148678557,153667195,1,49155935
2020,148678557,153667191,5,49155931
2020,148678557,153667193,5,49155933
2020,148678557,153667194,1,49155934
2020,148679368,153667980,18,49156180
2020,147420015,152436834,1,48589841
2020,148946493,153938711,18,49273623
2020,148946493,153938708,18,49273620
2020,148946493,153938709,18,49273621
2020,148946493,153938706,18,49273617
2020,148946493,153938707,18,49273619
2020,148946493,153938712,18,49273618
2020,148946493,153938710,18,49273622
2020,148946500,153938716,18,49273632
2020,148946498,153938716,18,49273628
2020,148946500,153938717,24,49273633
2020,148946499,153938717,24,49273630
2020,148946497,153938717,18,49273627
2020,148946498,153938717,18,49273629
2020,148946499,153938716,18,49273631
2020,148946497,153938716,18,49273626
2020,149075957,154067289,8,49325717
2020,149075962,154067295,1,49325719
2020,149076010,154067354,5,49325742
2020,149076025,154067366,3,49325745
2020,149076028,154067370,24,49325748
2020,149076028,154067369,24,49325749
2020,149076117,154067458,18,49325794
2020,149076117,154067457,18,49325793
2020,149076124,154067463,24,49325803
2020,149076124,154067462,24,49325804
2020,149076129,154067470,18,49325811
2020,149076129,154067471,18,49325812
2020,149076133,154067480,18,49325821
2020,149076133,154067479,18,49325820
2020,149076133,154067482,18,49325823
2020,149076133,154067481,18,49325822
2020,149076135,154067486,18,49325827
2020,149076135,154067485,18,49325826
2020,148679618,153668245,24,49156312
2020,148679618,153668244,1,49156311
2020,148818886,153806181,24,49215030
2020,148818140,153805445,16,49214795
2020,148818887,153806181,24,49215035
2020,148818886,153806180,24,49215029
2020,148818887,153806180,24,49215034
2020,148818886,153806179,24,49215028
2020,148818886,153806178,24,49215027
2020,148818887,153806178,24,49215032
2020,148818887,153806177,24,49215031
2020,148818887,153806179,24,49215033
2020,148818886,153806177,24,49215026
2020,148679542,153668160,27,49156235
2020,148679545,153668163,27,49156240
2020,148818327,153805630,18,49214869
2020,148153712,153137343,18,48943061
2020,148435647,153413516,18,49049133
2020,148435645,153413516,18,49049127
2020,148435650,153413518,18,49049144
2020,148435648,153413517,18,49049137
2020,147534360,152517335,24,48651846
2020,147534361,152517337,24,48651850
2020,147534360,152517336,24,48651845
2020,147534361,152517336,24,48651848
2020,147534360,152517337,24,48651847
2020,147534361,152517335,24,48651849
2020,147534469,152517433,27,48651878
2020,147534510,152517466,3,48651881
2020,148817790,153805090,24,49214655
2020,148833608,153825467,18,49219361
2020,148833608,153825466,1,49219360
2020,148834276,153826152,1,49219592
2020,148912554,153899482,18,49258592
2020,148912555,153899482,18,49258593
2020,148894079,153885582,1,49250693
2020,149075948,154067281,1,49325715
2020,149110624,154110272,3,49347745
2020,149177342,154177616,18,49370641
2020,149177772,154178042,1,49370864
2020,149177794,154178064,1,49370874
2020,148679536,153668153,18,49156228
2020,148691157,153674928,18,49163317
2020,148691157,153674929,18,49163318
2020,148691157,153674930,18,49163319
2020,147435748,152461111,24,48599118
2020,148945072,153937308,17,49272867
2020,148945948,153938201,3,49273311
2020,148945405,153937643,20,49273002
2020,148818722,153806022,9,49214970
2020,148818722,153806023,18,49214971
2020,148818959,153806256,19,49215057
2020,148818958,153806256,19,49215056
2020,148946542,153938767,18,49273660
2020,148946542,153938766,18,49273661
2020,147465511,152490730,18,48610353
2020,147473601,152493882,14,48611631
2020,147419893,152436724,3,48589786
2020,147419914,152436740,18,48589798
2020,147419915,152436741,18,48589801
2020,147419914,152436741,18,48589799
2020,147419915,152436740,27,48589800
2020,147420124,152436940,27,48589878
2020,148435649,153413518,18,49049141
2020,148435647,153413518,18,49049135
2020,148435645,153413517,18,49049128
2020,148435649,153413516,18,49049139
2020,148435646,153413518,18,49049132
2020,148435646,153413517,18,49049131
2020,148435645,153413518,18,49049129
2020,148435647,153413517,18,49049134
2020,148435646,153413516,18,49049130
2020,148435648,153413516,18,49049136
2020,148435650,153413516,18,49049142
2020,148435649,153413517,18,49049140
2020,148435650,153413517,18,49049143
2020,148435648,153413518,18,49049138
2020,148435841,153413705,15,49049195
2020,148435844,153413707,18,49049196
2020,148435933,153413808,18,49049234
2020,148435933,153413807,18,49049233
2020,148435933,153413809,18,49049235
2020,148435933,153413806,18,49049232
2020,148436068,153413944,5,49049275
2020,148436070,153413945,1,49049277
2020,148436069,153413945,1,49049276
2020,147385056,152407160,3,48567110
2020,147385056,152407159,1,48567111
2020,147385205,152407309,24,48567160
2020,147385597,152407716,27,48567332
2020,147385599,152407718,4,48567333
2020,147386239,152408384,18,48567610
2020,147386238,152408384,18,48567609
2020,147553030,152535479,16,48661396
2020,147553030,152535477,16,48661395
2020,147553030,152535478,16,48661394
2020,147553041,152535489,16,48661402
2020,147553040,152535489,16,48661401
2020,147553070,152535516,14,48661408
2020,147553095,152535537,1,48661414
2020,147553097,152535539,27,48661415
2020,147553107,152535547,1,48661418
2020,148153752,153137399,24,48943141
2020,149089275,154085335,21,49334068
2020,149091646,154091425,1,49334701
2020,149280351,154273425,7,49415787
2020,148912823,153899738,18,49258675
2020,148819162,153806459,3,49215142
2020,147385061,152407163,5,48567113
