"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
91052020,9105,2020,"MN0010000","MN0010000","","N","N",,"I","AITKIN","AITKIN CO SO AITKIN","Aitkin","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",12884,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",16,17,33,3,15,18,0,0,01-JUN-16,01-FEB-19,01-FEB-19,01-FEB-19,01-AUG-19,01-FEB-19,"N","AITKIN","Non-MSA","Y","Y","Y"
91062020,9106,2020,"MN0020000","MN0020000","","N","N",,"I","ANOKA","ANOKA CO SO ANOKA","Anoka","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","County",85010,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",122,75,197,15,63,78,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91072020,9107,2020,"MN0020100","MN0020100","","N","N",,"I","ANOKA","ANOKA PD","Anoka","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",17593,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",27,3,30,2,7,9,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91082020,9108,2020,"MN0020200","MN0020200","","N","N",,"I","BLAINE","BLAINE PD","Blaine","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",66588,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",58,4,62,8,11,19,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91092020,9109,2020,"MN0020300","MN0020300","","N","N",,"I","CENTENNIAL LAKES","CENTENNIAL LAKES POLICE DEPARTMENT","Centennial Lakes","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",11704,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",14,0,14,2,2,4,0,0,01-JUN-16,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91102020,9110,2020,"MN0020400","MN0020400","","N","N",,"I","COLUMBIA HEIGHTS","COLUMBIA HEIGHTS PD","Columbia Heights","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",21291,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",21,3,24,4,4,8,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91112020,9111,2020,"MN0020500","MN0020500","","N","N",,"I","COON RAPIDS","COON RAPIDS PD","Coon Rapids","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",63162,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",53,2,55,10,9,19,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91122020,9112,2020,"MN0020600","MN0020600","","N","N",,"I","FRIDLEY","FRIDLEY PD","Fridley","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",27892,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",40,1,41,3,7,10,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91132020,9113,2020,"MN0020700","MN0020700","","N","N",,"I","LINO LAKES","LINO LAKES PD","Lino Lakes","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",22337,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",20,0,20,5,3,8,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
91142020,9114,2020,"MN0020800","MN0020800","","N","N",,"I","SPRING LAKE PARK","SPRING LAKE PARK PD","Spring Lake Park","","A",27,"Minnesota","MN","MN","4","West North Central","2","Midwest","Region II","City",6978,23375,"MNUCR0001","Minnesota Justice Information Services Bureau of Criminal Apprehension","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,1,3,4,0,0,01-JUN-16,01-JAN-94,01-JAN-94,01-JAN-94,01-JAN-94,01-AUG-19,"N","RAMSEY; ANOKA","Minneapolis-St. Paul-Bloomington, MN-WI","Y","Y","Y"
