data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,12,147296673,13.450,1,12513193
2021,12,147296673,60.000,9,12513194
2021,16,135461577,28.000,9,6818197
2021,5,147296676,53.375,1,12513195
2021,12,147296692,20.750,1,12513196
2021,12,147296692,2.000,9,12513197
2021,5,147296696,1.623,1,12513198
2021,12,147296696,1.000,9,12513199
2021,5,147296713,1.000,9,12513200
2021,5,147296713,5.619,1,12513201
2021,5,147296720,1.000,9,12513202
2021,11,147296727,1.000,1,12513203
2021,12,147296727,0.760,1,12513204
2021,5,147296727,1.000,9,12513205
2021,17,147296733,1.000,9,12513206
2021,5,147296746,7.000,9,12513207
2021,16,147296746,2.000,9,12513208
2021,12,147296763,22.110,1,12513209
2021,12,147296763,1.000,9,12513210
2021,16,147296763,10.000,9,12513211
2021,5,147296773,4.000,9,12513212
2021,12,147296780,1.000,9,12513213
2021,5,147296783,29.600,1,12513214
2021,5,147243885,1.000,9,12503872
2021,5,149433804,2.300,1,12807263
2021,5,149433804,2.000,9,12807264
2021,12,147243886,0.820,1,12503873
2021,4,147296793,1.000,9,12513217
2021,5,147296811,1.600,1,12513218
2021,5,147243887,1.000,9,12503874
2021,5,147296839,0.160,1,12513219
2021,5,147296870,11.030,1,12513222
2021,5,147296875,2.399,1,12513223
2021,5,147296875,1.000,9,12513224
2021,5,147296880,1.000,9,12513225
2021,17,147296880,1.000,9,12513226
2021,11,147296880,8.800,1,12513227
2021,5,147243888,1.000,9,12503875
2021,12,147296894,1.000,9,12513228
2021,12,147296895,0.315,1,12513229
2021,5,147296895,2.638,1,12513230
2021,16,147296895,1.000,9,12513231
2021,12,145557346,425.000,1,12275028
2021,5,147296920,1.000,9,12513232
2021,5,147296920,10.957,1,12513233
2021,4,147243889,1.000,9,12503876
2021,5,147296932,110.000,1,12513234
2021,5,147296932,6.000,9,12513235
2021,16,147296939,34.000,9,12513237
2021,5,147297002,3.000,9,12513247
2021,12,147297012,1.000,9,12513248
2021,5,147297023,14.100,1,12513249
2021,17,147297046,2.000,9,12513252
2021,12,147297049,2.000,9,12513253
2021,12,147297053,5.500,1,12513254
2021,17,147297053,0.300,1,12513255
2021,12,134110381,1.000,11,9694691
