data_year,groupb_arrestee_id,arrestee_seq_num,arrest_date,arrest_type_id,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,age_range_low_num,age_range_high_num
2022,45299497,2,2022-01-07,2,90C,18,15,M,98,40,U,R,,
2022,45589951,1,2022-01-07,2,90C,19,16,F,98,40,U,R,,
2022,44639456,1,2022-01-09,3,90D,22,19,M,98,50,U,,,
2022,44829819,1,2022-01-27,2,90C,33,30,F,30,20,R,,,
2022,44847904,1,2022-01-31,1,90Z,29,26,F,10,20,N,,,
2022,46489791,1,2022-01-12,2,90D,55,52,M,98,40,U,,,
2022,44927046,1,2022-02-05,2,90D,79,76,M,40,40,U,,,
2022,44977936,1,2022-02-11,1,90D,66,63,M,10,40,R,,,
2022,45092751,1,2022-02-06,1,90D,28,25,M,98,40,N,,,
2022,45092752,1,2022-02-11,3,90D,46,43,M,10,20,U,,,
2022,45129984,1,2022-02-15,2,90D,49,46,M,98,50,U,,,
2022,48023264,1,2022-02-03,3,90C,29,26,M,10,20,U,,,
2022,48023225,1,2022-02-14,2,90Z,40,37,F,98,50,U,,,
2022,46489794,2,2022-02-28,2,90C,18,15,F,98,40,R,R,,
2022,45271594,1,2022-03-09,2,90D,57,54,F,10,20,U,,,
2022,45311497,1,2022-03-18,3,90D,40,37,M,98,50,U,,,
2022,45309565,1,2022-03-02,1,90D,47,44,M,98,50,N,,,
2022,45574170,1,2022-03-04,1,90C,32,29,M,98,50,N,,,
2022,46489793,1,2022-03-28,2,90C,18,15,F,98,40,R,R,,
2022,46489797,1,2022-03-26,2,90C,17,14,M,98,40,U,R,,
2022,45448268,1,2022-04-10,1,90Z,25,22,M,30,20,N,,,
2022,48023276,2,2022-04-01,2,90C,21,18,F,98,40,R,,,
2022,48023277,1,2022-04-01,2,90C,20,17,F,98,40,R,R,,
2022,46489795,1,2022-04-12,2,90C,65,62,M,10,40,U,,,
2022,46489796,2,2022-04-12,2,90C,43,40,M,10,20,U,,,
2022,45802452,3,2022-05-08,2,90G,23,20,M,98,50,N,,,
2022,45802450,2,2022-05-08,2,90G,21,18,M,98,50,N,,,
2022,45802448,1,2022-05-09,2,90Z,40,37,F,98,50,N,,,
2022,45802449,1,2022-05-04,1,90C,26,23,M,98,40,R,,,
2022,45802451,1,2022-05-08,2,90G,23,20,M,98,50,N,,,
2022,48023282,1,2022-05-29,1,90D,41,38,M,98,50,N,,,
2022,48023278,1,2022-05-25,2,90Z,43,40,M,98,50,U,,,
2022,48023279,1,2022-05-02,1,90D,36,33,M,98,50,R,,,
2022,46489799,1,2022-05-08,2,90D,25,22,F,98,40,N,,,
2022,48023308,1,2022-06-16,3,90D,44,41,M,10,20,U,,,
2022,48023283,3,2022-06-13,2,90G,23,20,M,98,50,U,,,
2022,48023298,5,2022-06-13,2,90G,23,20,M,98,50,U,,,
2022,48023292,2,2022-06-13,2,90G,23,20,M,98,50,U,,,
2022,48023275,1,2022-06-28,2,90Z,61,58,M,98,40,U,,,
2022,48023284,1,2022-06-13,2,90G,22,19,F,98,50,U,,,
2022,48023305,4,2022-06-13,2,90G,23,20,M,98,50,U,,,
2022,47029927,1,2022-06-10,1,90C,66,63,F,98,50,N,,,
2022,47029928,1,2022-06-19,3,90D,56,53,M,98,40,U,,,
2022,46490252,1,2022-06-03,2,90Z,38,35,F,10,50,U,,,
2022,48023309,1,2022-07-04,1,90C,48,45,F,98,40,N,,,
2022,47022631,1,2022-07-10,1,90D,28,25,M,98,50,R,,,
2022,47022632,1,2022-07-22,3,90D,51,48,M,98,50,U,,,
2022,47022928,2,2022-07-18,2,90J,42,39,F,98,50,U,,,
2022,47022927,1,2022-07-18,2,90J,47,44,M,98,50,U,,,
2022,46390895,1,2022-07-19,3,90Z,41,38,M,10,20,R,,,
2022,48145161,1,2022-07-22,2,90Z,66,63,M,98,40,U,,,
2022,46581753,1,2022-08-21,3,90D,61,58,F,10,40,U,,,
2022,46752486,1,2022-08-13,1,90Z,41,38,M,10,20,R,,,
