yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
91052022,9105,2022,MN0010000,MN0010000,,N,N,,I,AITKIN,AITKIN CO SO AITKIN,Aitkin,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,13017,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,19,14,33,2,13,15,1.6,3.7,2016-06-01,2019-02-01,2019-02-01,2019-02-01,2019-08-01,2019-02-01,N,AITKIN,Not Specified,Y,Y,Y
91062022,9106,2022,MN0020000,MN0020000,,N,N,,I,ANOKA,ANOKA CO SO ANOKA,Anoka,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,County,86506,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,118,77,195,13,65,78,1.5,3.2,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91072022,9107,2022,MN0020100,MN0020100,,N,N,,I,ANOKA,ANOKA PD,Anoka,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,17864,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,29,3,32,2,7,9,1.7,2.3,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91082022,9108,2022,MN0020200,MN0020200,,N,N,,I,BLAINE,BLAINE PD,Blaine,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,71368,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,62,1,63,11,10,21,1.0,1.2,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91092022,9109,2022,MN0020300,MN0020300,,N,N,,I,CENTENNIAL LAKES,CENTENNIAL LAKES POLICE DEPARTMENT,Centennial Lakes,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,11649,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,11,0,11,3,2,5,1.2,1.4,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91102022,9110,2022,MN0020400,MN0020400,,N,N,,I,COLUMBIA HEIGHTS,COLUMBIA HEIGHTS PD,Columbia Heights,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,22682,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,3,28,3,3,6,1.2,1.5,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91112022,9111,2022,MN0020500,MN0020500,,N,N,,I,COON RAPIDS,COON RAPIDS PD,Coon Rapids,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,63181,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,56,2,58,12,9,21,1.1,1.3,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91122022,9112,2022,MN0020600,MN0020600,,N,N,,I,FRIDLEY,FRIDLEY PD,Fridley,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,31095,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,42,2,44,4,6,10,1.5,1.7,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91132022,9113,2022,MN0020700,MN0020700,,N,N,,I,LINO LAKES,LINO LAKES PD,Lino Lakes,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,21997,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,21,0,21,6,4,10,1.2,1.4,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,ANOKA,"Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
91142022,9114,2022,MN0020800,MN0020800,,N,N,,I,SPRING LAKE PARK,SPRING LAKE PARK PD,Spring Lake Park,,A,27,Minnesota,MN,MN,4,West North Central,2,Midwest,Region II,City,7163,23375,MNUCR0001,Minnesota Justice Information Services Bureau of Criminal Apprehension,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,2,3,5,1.5,2.0,2016-06-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,2019-08-01,N,"ANOKA, RAMSEY","Minneapolis-St. Paul-Bloomington, MN-WI",Y,Y,Y
