date,hour,incident,agencyID,agency_name,type,ethnicity,race,weapon,age,sex,weekday
2018-02-01,15,117310335,9203,RED WING PD,11A,Not Hispanic or Latino,White,Personal Weapons,48.0,M,Thursday
2018-05-07,21,116299949,9132,MANKATO PD,35A,Not Hispanic or Latino,White,,22.0,M,Monday
2018-10-29,23,116399342,9295,FAIRMONT PD,13B,Not Hispanic or Latino,White,Personal Weapons,52.0,F,Monday
2018-12-19,10,116439906,9422,WASECA,370,Not Hispanic or Latino,White,,42.0,M,Wednesday
2018-12-19,10,116439906,9422,WASECA,370,Not Hispanic or Latino,White,,35.0,F,Wednesday
2018-10-31,10,116299338,9132,MANKATO PD,23H,Not Hispanic or Latino,White,,43.0,M,Wednesday
2018-08-20,9,117437221,9328,RAMSEY CO SO ST PAUL,23D,Unknown,White,,30.0,M,Monday
2018-10-31,0,116446141,9145,CARVER CO SO CHASKA,26B,Not Hispanic or Latino,White,,40.0,F,Wednesday
2018-10-31,0,116446141,9145,CARVER CO SO CHASKA,270,Not Hispanic or Latino,White,,40.0,F,Wednesday
2018-09-03,3,116446142,9145,CARVER CO SO CHASKA,35A,Not Hispanic or Latino,White,,37.0,M,Monday
2018-09-03,3,116446142,9145,CARVER CO SO CHASKA,35B,Not Hispanic or Latino,White,,37.0,M,Monday
2018-09-03,3,116446142,9145,CARVER CO SO CHASKA,13B,Not Hispanic or Latino,White,Personal Weapons,37.0,M,Monday
2018-05-28,15,116341615,9145,CARVER CO SO CHASKA,13B,Not Hispanic or Latino,Black or African American,None,30.0,F,Monday
2018-05-28,15,116341615,9145,CARVER CO SO CHASKA,13B,Not Hispanic or Latino,Black or African American,None,43.0,M,Monday
2018-08-23,22,113977597,9309,ST PETER PD,11D,Hispanic or Latino,White,Personal Weapons,28.0,M,Thursday
2018-04-16,17,96613664,9199,FREEBORN CO SO ALBERT LEA,13B,Not Hispanic or Latino,White,Personal Weapons,21.0,F,Monday
2018-04-17,16,96613716,9316,OTTER TAIL CO SO FERGUS FALLS,13B,Not Hispanic or Latino,White,None,19.0,M,Tuesday
2018-04-01,23,96613759,9201,GOODHUE CO SO RED WING,35A,Not Hispanic or Latino,White,,42.0,M,Sunday
2018-02-25,15,96613839,9317,FERGUS FALLS PD,13A,Not Hispanic or Latino,Black or African American,Personal Weapons,20.0,M,Sunday
2018-01-17,22,96614000,9203,RED WING PD,13B,Not Hispanic or Latino,Black or African American,Personal Weapons,40.0,M,Wednesday
2018-04-18,20,96614126,9203,RED WING PD,13B,Not Hispanic or Latino,White,Personal Weapons,28.0,F,Wednesday
2018-03-31,1,96614313,9200,ALBERT LEA PD,13B,Not Hispanic or Latino,White,Personal Weapons,27.0,M,Saturday
2018-03-31,1,96614313,9200,ALBERT LEA PD,13A,Not Hispanic or Latino,White,Personal Weapons,27.0,M,Saturday
2018-04-07,19,96614336,9200,ALBERT LEA PD,250,Not Hispanic or Latino,Black or African American,,14.0,M,Saturday
2018-03-21,7,96615036,9145,CARVER CO SO CHASKA,23F,Unknown,Unknown,,,F,Wednesday
2018-04-09,19,96615070,9145,CARVER CO SO CHASKA,290,Not Hispanic or Latino,White,,24.0,F,Monday
2018-04-09,19,96615070,9145,CARVER CO SO CHASKA,290,Not Hispanic or Latino,White,,27.0,F,Monday
2018-04-18,17,96615180,26905,,13C,Not Hispanic or Latino,White,,33.0,M,Wednesday
2018-04-13,16,96615488,9292,MAHNOMEN CO SO MAHNOMEN,13C,Not Hispanic or Latino,American Indian or Alaska Native,,29.0,M,Friday
2018-04-04,12,96615668,9132,MANKATO PD,35A,Not Hispanic or Latino,White,,35.0,M,Wednesday
2018-04-06,3,96613715,9316,OTTER TAIL CO SO FERGUS FALLS,290,Not Hispanic or Latino,American Indian or Alaska Native,,33.0,M,Friday
2018-04-18,10,96613777,9201,GOODHUE CO SO RED WING,13C,Not Hispanic or Latino,White,,13.0,M,Wednesday
2018-04-11,17,96613908,9317,FERGUS FALLS PD,23H,Not Hispanic or Latino,White,,47.0,F,Wednesday
2018-04-15,1,96613938,9317,FERGUS FALLS PD,13B,Not Hispanic or Latino,White,Other,34.0,F,Sunday
2018-04-12,16,96614107,9203,RED WING PD,35A,Not Hispanic or Latino,White,,18.0,M,Thursday
2018-04-12,16,96614107,9203,RED WING PD,35B,Not Hispanic or Latino,White,,18.0,M,Thursday
2018-04-09,15,96614341,9200,ALBERT LEA PD,290,Not Hispanic or Latino,White,,33.0,M,Monday
2018-03-31,19,96614395,9310,NOBLES CO SO WORTHINGTON,35A,Not Hispanic or Latino,White,,27.0,M,Saturday
2018-03-31,19,96614395,9310,NOBLES CO SO WORTHINGTON,35B,Not Hispanic or Latino,White,,27.0,M,Saturday
2018-01-20,9,96614884,9123,DETROIT LAKES PD,290,Not Hispanic or Latino,White,,31.0,M,Saturday
2018-05-17,7,96946378,9123,DETROIT LAKES PD,290,Unknown,Unknown,,33.0,F,Thursday
2018-05-09,21,96946560,9193,WELLS PD,13A,Not Hispanic or Latino,White,Asphyxiation,37.0,M,Wednesday
2018-06-12,23,96946712,9425,WASECA PD,23C,Not Hispanic or Latino,White,,40.0,F,Tuesday
2018-05-01,21,96946876,9311,WORTHINGTON PD,23C,Not Hispanic or Latino,Black or African American,,19.0,M,Tuesday
2018-05-01,21,96946876,9311,WORTHINGTON PD,23C,Not Hispanic or Latino,Black or African American,,19.0,M,Tuesday
2018-05-10,3,96946897,9311,WORTHINGTON PD,23C,Unknown,Unknown,,26.0,F,Thursday
2018-06-11,17,96946955,9311,WORTHINGTON PD,13B,Unknown,Unknown,Personal Weapons,22.0,M,Monday
2018-04-16,17,96614106,9203,RED WING PD,290,Not Hispanic or Latino,White,,7.0,M,Monday
